Kategori,Nama,URL,Akses Data,Penilaian Kualitas,Catatan
Mesin Pencari/Agregator,Jooble,https://jooble.org,"API resmi, gratis - daftar di https://us.jooble.org/api/about",4/5,"Cakupan global luas, hasil agregat dari ribuan sumber, dokumentasi jelas"
Mesin Pencari/Agregator,Adzuna,https://www.adzuna.com,"API resmi, gratis (tier) - daftar di https://developer.adzuna.com, 25 call/menit & 250/hari gratis",4/5,"Data rapi terstruktur, ada data gaji; cakupan Indonesia masih terbatas"
Mesin Pencari/Agregator,Careerjet,https://www.careerjet.com,"API pencarian publik, gratis dengan rate limit",3/5,"Sudah lama beroperasi, dokumentasi kurang modern"
Mesin Pencari/Agregator,Google for Jobs,(muncul di hasil Google Search),"Tidak ada API publik pihak ketiga; hanya bisa masuk lewat markup schema.org JobPosting",-,"Bukan sumber yang bisa ditarik langsung, relevan jika kamu juga jadi penerbit lowongan"
Mesin Pencari/Agregator,Indeed,https://www.indeed.com,"API publik sangat dibatasi, butuh approval publisher program",3/5,"Kualitas data tinggi tapi akses sekarang sulit tanpa kerja sama resmi"
Job Board Indonesia,JobStreet Indonesia (by SEEK),https://id.jobstreet.com,Tidak ada API publik,5/5,"Jumlah lowongan & perusahaan terbanyak di Indonesia, paling kredibel"
Job Board Global,LinkedIn Jobs,https://www.linkedin.com/jobs,"Tidak ada API publik untuk job search; ToS melarang scraping secara eksplisit",5/5,"Kualitas lowongan tinggi, paling ketat soal akses otomatis"
Job Board Indonesia,Glints,https://glints.com/id/en,Tidak ada API publik,4/5,"Kuat untuk startup, entry-level, dan magang"
Job Board Indonesia,Kalibrr,https://www.kalibrr.id/home,Tidak ada API publik,3/5,"Kurasi ketat, jumlah lowongan lebih sedikit"
Job Board Indonesia,Karir.com,https://karir.com,Tidak ada API publik,3/5,"Pionir job portal Indonesia sejak 1999, kini kurang populer dibanding kompetitor baru"
Job Board Indonesia,Dealls,https://dealls.com,Tidak ada API publik,4/5,"Terkurasi, klaim lebih dari 100.000 lowongan aktif dari 5.000+ perusahaan"
Job Board Indonesia,TopKarir,https://www.topkarir.com,Tidak ada API publik,3/5,"Kuat di segmen magang, pelatihan, dan beasiswa"
Job Board Indonesia,Urbanhire,https://urbanhire.com,Tidak ada API publik,3/5,"Lebih ke produk ATS untuk HR, bukan job board murni"
Portal Pemerintah,SIAPkerja (Kemnaker),https://siapkerja.kemnaker.go.id,Tidak ada API publik yang ditemukan,5/5,"Resmi dan gratis, klaim sekitar 200.000 loker aktif, sedang konsolidasi data dari portal swasta nasional"
Portal Pemerintah,Karirhub (bagian dari SIAPkerja),https://karirhub.kemnaker.go.id,Tidak ada API publik,5/5,"Fitur lowongan kerja & magang dalam ekosistem SIAPkerja, rujukan resmi untuk verifikasi anti-hoaks"
